Title,Price,ISBN-10,Author,Format,Pages,Publisher,Language,Weight,Dimensions,Case pack,Availability
The Unraveling of Mercy Louis (A Novel),25.99,62319094,Keija Parssinen,Hardcover,336,"HarperCollins (March 10, 2015)",English,17.28oz,"6"" x 9"" x 1.09""",28,InStock
My Heart and Other Black Holes,17.99,62324675,Jasmine Warga,Hardcover,320,"HarperCollins (February 10, 2015)",English,14.08oz,"5.5"" x 8.25"" x 1.05""",40,InStock
"Savage Harvest (A Tale of Cannibals, Colonialism, and Michael Rockefeller's Tragic Quest for Primitive Art)",18.99,62325310,Carl Hoffman,Paperback,336,"HarperCollins (March 18, 2014)",English,13.92oz,"6"" x 9"" x 0.84""",40,InStock
Gray Work (Confessions of an American Paramilitary Spy) - 9780062326478,29.99,62326473,Jamie Smith,Paperback,704,"HarperCollins (April 7, 2015)",English,25.44oz,"6"" x 9"" x 1.41""",20,InStock
Better on Toast (Happiness on a Slice of Bread--70 Irresistible Recipes),27.5,62329049,Jill Donenfeld,Hardcover,208,"HarperCollins (March 31, 2015)",English,27.2oz,"7.38"" x 9.12"" x 0.76""",20,InStock
Dog Crazy (A Novel of Love Lost and Found),14.99,62331035,Meg Donohue,Paperback,288,"HarperCollins (March 10, 2015)",English,7.68oz,"5.31"" x 8"" x 0.65""",68,InStock
Endgame: The Calling,19.99,62332589,"James Frey, Nils Johnson-Shelton",Hardcover,480,"HarperCollins (October 7, 2014)",English,26.88oz,"6"" x 9"" x 1.58""",20,InStock
It Started with a Scandal (Pennyroyal Green Series),7.99,62334824,Julie Anne Long,Paperback,384,"HarperCollins (March 31, 2015)",English,6.48oz,"4.19"" x 6.75"" x 0.96""",48,InStock
None of the Above,17.99,62335316,I. W. Gregorio,Hardcover,352,"HarperCollins (April 7, 2015)",English,14.72oz,"5.5"" x 8.25"" x 1.13""",36,InStock
"The Promise of Palm Grove (Amish Brides of Pinecraft, Book One)",12.99,006233770X,Shelley Shepard Gray,Paperback,288,"HarperCollins (January 27, 2015)",English,7.44oz,"5.31"" x 8"" x 0.65""",64,InStock
The Fires of Jubilee (Nat Turner's Fierce Rebellion),13.99,60916702,Stephen B. Oates,Paperback,208,"HarperCollins (June 3, 2014)",English,5.6oz,"5.3125"" x 8"" x 0.4685""",92,InStock
To Explain the World (The Discovery of Modern Science),28.99,62346652,Steven Weinberg,Hardcover,432,"HarperCollins (February 17, 2015)",English,25.6oz,"6"" x 9"" x 1.33""",24,InStock
Simon vs. the Homo Sapiens Agenda,18.99,62348671,Becky Albertalli,Hardcover,320,"HarperCollins (April 7, 2015)",English,13.79oz,"5.5"" x 8.25"" x 1.05""",36,InStock
The Tell-Tale Heart (A Novel),14.99,62348809,Jill Dawson,Paperback,256,"HarperCollins (February 10, 2015)",English,6.72oz,"5.31"" x 8"" x 0.58""",60,InStock
Broken (LOST Series #1),8.99,62349562,Cynthia Eden,Paperback,384,"HarperCollins (March 31, 2015)",English,16oz,"4.19"" x 6.75"" x 0.96""",48,InStock
150 Best Mini Interior Ideas,29.99,62352016,Francesc Zamora,Hardcover,504,"HarperCollins (February 17, 2015)",English,60.8oz,"7.69"" x 7.69""",8,InStock
Make It Count (A Bowler University Novel),6.99,62353411,Megan Erickson,Paperback,336,"HarperCollins (July 8, 2014)",English,5.92oz,"4.19"" x 6.75"" x 0.84""",48,InStock
A Reunion of Ghosts (A Novel),26.99,62355880,Judith Claire Mitchell,Hardcover,400,"HarperCollins (March 24, 2015)",English,19.04oz,"6"" x 9"" x 1.25""",24,InStock
Revenger (A John Shakespeare Mystery),11.99,62356240,Rory Clements,Paperback,480,"HarperCollins (December 2, 2014)",English,14.08oz,"5.31"" x 8"" x 1.08""",36,InStock
Fall With Me,8.99,62362747,Jennifer L. Armentrout,Paperback,384,"HarperCollins (March 31, 2015)",English,16oz,"4.19"" x 6.75"" x 0.96""",48,InStock
Chase Me (A Broke and Beautiful Novel),6.99,62369067,Tessa Bailey,Paperback,272,"HarperCollins (March 17, 2015)",English,16oz,"4.19"" x 6.75"" x 0.68""",48,InStock
Rescue at Los Ba\xc3\xb1os (The Most Daring Prison Camp Raid of World War II) - 9780062370020,27.99,62370022,Bruce Henderson,Paperback,560,"HarperCollins (March 31, 2015)",English,20.06oz,"6"" x 9"" x 1.12""",24,InStock
The Kind Worth Killing (A Novel) - 9780062370044,25.99,62370049,Peter Swanson,Paperback,464,"HarperCollins (February 3, 2015)",English,17.28oz,"6"" x 9"" x 0.93""",32,InStock
A Dangerous Place (A Maisie Dobbs Novel) - 9780062370358,27.99,62370359,Jacqueline Winspear,Paperback,432,"HarperCollins (March 17, 2015)",English,15.58oz,"6"" x 9"" x 0.86""",32,InStock
The Bookseller (A Novel) - 9780062370365,25.99,62370367,Cynthia Swanson,Paperback,464,"HarperCollins (March 3, 2015)",English,16.96oz,"6"" x 9"" x 0.93""",32,InStock
American Sniper [Movie Tie-in Edition] (The Autobiography of the Most Lethal Sniper in U.S. Military History),15.99,62376330,"Chris Kyle, Scott McEwen, Jim DeFelice",Paperback,416,"HarperCollins (November 25, 2014)",English,11.2oz,"5.3125"" x 8"" x 0.9369""",28,InStock
The Nazi Officer's Wife (How One Jewish Woman Survived the Holocaust),16.99,62378082,"Edith Hahn Beer, Susan Dworkin",Paperback,352,"HarperCollins (March 10, 2015)",English,9.6oz,"5.31"" x 8"" x 0.79""",60,InStock
The Elusive Lord Everhart (The Rakes of Fallow Hall Series),8.99,62380494,Vivienne Lorret,Paperback,336,"HarperCollins (April 14, 2015)",English,16oz,"4.19"" x 6.75"" x 0.84""",48,InStock
Divergent,12.99,62387243,"Veronica Roth, Nicolas Delort",Paperback,576,"HarperCollins (September 30, 2014)",English,14.85oz,"5.31"" x 8"" x 1.3""",20,InStock
The Keeper: The Unguarded Story of Tim Howard Young Readers' Edition - 9780062387554,16.99,62387553,Tim Howard,Hardcover,288,"HarperCollins (December 9, 2014)",English,13.44oz,"5.5"" x 8.25"" x 0.97""",40,InStock
One Mile Under (A Ty Hauck Novel) - 9780062392749,26.99,62392743,Andrew Gross,Paperback,592,"HarperCollins (April 7, 2015)",English,21.44oz,"6"" x 9"" x 1.18""",24,InStock
The Yiddish Policemen's Union (A Novel),28.99,7149824,Michael Chabon,Hardcover,432,"HarperCollins (May 1, 2007)",English,20.8oz,"6.12"" x 9"" x 1.33""",16,InStock
Colors Insulting to Nature (A Novel),13.95,7154577,Cintra Wilson,Paperback,400,"HarperCollins (June 14, 2005)",English,14.72oz,"5.31"" x 8"" x 0.9""",16,InStock
Going Sane,14.99,7155360,Adam Phillips,Paperback,224,"HarperCollins (September 18, 2007)",English,7.68oz,"5.31"" x 8"" x 0.5""",72,InStock
Side Effects,13.95,7155387,Adam Phillips,Paperback,336,"HarperCollins (April 24, 2007)",English,8.64oz,"5.31"" x 8"" x 0.76""",60,InStock
Moondust (In Search of the Men Who Fell to Earth),13.95,7155425,Andrew Smith,Paperback,384,"HarperCollins (August 8, 2006)",English,16oz,"5.31"" x 8"" x 0.86""",1,InStock
Man About Town (A Novel),15.99,000715612X,Mark Merlis,Paperback,368,"HarperCollins (April 27, 2004)",English,12.48oz,"5.31"" x 8"" x 0.84""",40,InStock
Evening in the Palace of Reason (Bach Meets Frederick the Great in the Age of Enlightenment),16.99,7156618,James R. Gaines,Paperback,368,"HarperCollins (February 28, 2006)",English,9.44oz,"5.31"" x 8"" x 0.83""",48,InStock
The Speckled People (A Memoir of a Half-Irish Childhood),13.99,7156634,Hugo Hamilton,Paperback,304,"HarperCollins (April 27, 2004)",English,8.96oz,"5.31"" x 8"" x 0.68""",40,InStock
The Real Trial of Oscar Wilde,18.99,000715805X,Merlin Holland,Paperback,384,"HarperCollins (October 5, 2004)",English,13.76oz,"5.31"" x 8"" x 0.86""",52,InStock
The Lucky Ones,15.99,7161328,Rachel Cusk,Paperback,240,"HarperCollins (October 4, 2005)",English,16oz,"5.31"" x 8"" x 0.54""",72,InStock
"The King, the Crook, and the Gambler (The True Story of the South Sea Bubble and the Greatest Financial Scandal in History)",14.99,7161786,Malcolm Balen,Paperback,256,"HarperCollins (June 1, 2004)",English,10.24oz,"5.31"" x 8"" x 0.58""",34,InStock
The Road to McCarthy (Around the World in Search of Ireland),14.99,7162138,Pete McCarthy,Paperback,384,"HarperCollins (February 1, 2005)",English,12.96oz,"5.31"" x 8"" x 0.86""",52,InStock
Blood and Roses (One Family's Struggle and Triumph During the Tumultuous Wars of the Roses),18.99,7162227,Helen Castor,Paperback,464,"HarperCollins (April 3, 2007)",English,13.98oz,"5.31"" x 8"" x 0.9""",40,InStock
"Dreams of Iron and Steel (Seven Wonders of the Modern Age, from the Building of the London Sewers to the Panama Canal)",15.99,000716307X,Deborah Cadbury,Paperback,352,"HarperCollins (January 4, 2005)",English,13.12oz,"5.31"" x 8"" x 0.79""",36,InStock
Judge Sewall's Apology (The Salem Witch Trials and the Forming of an American Conscience),16.99,7163630,Richard Francis,Paperback,432,"HarperCollins (August 1, 2006)",English,12.56oz,"5.31"" x 8"" x 0.69""",44,InStock
Eating the Sun (How Plants Power the Planet),15.99,7163657,Oliver Morton,Paperback,480,"HarperCollins (November 17, 2009)",English,12.45oz,"5.31"" x 8"" x 1.08""",40,InStock
Politics (A Novel),14.99,7163673,Adam Thirlwell,Paperback,304,"HarperCollins (August 31, 2004)",English,9.28oz,"5.31"" x 8"" x 0.68""",64,InStock
The Secret Goldfish (Stories),14.99,7164904,David Means,Paperback,224,"HarperCollins (October 4, 2005)",English,8.69oz,"5.31"" x 8"" x 0.51""",64,InStock
The Last Playboy (The High Life of Porfirio Rubirosa),15.99,7170602,Shawn Levy,Paperback,384,"HarperCollins (October 31, 2006)",English,10.4oz,"5.31"" x 8"" x 0.87""",48,InStock
Warriors #1: Into the Wild,16.99,60000023,"Erin Hunter, Dave Stevenson",Hardcover,288,"HarperCollins (January 21, 2003)",English,13.12oz,"5.5"" x 8.25"" x 0.97""",32,InStock
Warriors #2: Fire and Ice,16.99,60000031,"Erin Hunter, Dave Stevenson",Hardcover,336,"HarperCollins (May 27, 2003)",English,13.92oz,"5.5"" x 8.25"" x 1.09""",28,InStock
Warriors #3: Forest of Secrets,16.99,006000004X,"Erin Hunter, Dave Stevenson",Hardcover,336,"HarperCollins (October 14, 2003)",English,16oz,"5.5"" x 8.25"" x 1.09""",28,InStock
Warriors #4: Rising Storm,16.99,60000058,"Erin Hunter, Dave Stevenson",Hardcover,336,"HarperCollins (January 6, 2004)",English,14.72oz,"5.5"" x 8.25"" x 1.09""",28,InStock
Warriors #5: A Dangerous Path,16.99,60000066,"Erin Hunter, Dave Stevenson",Hardcover,336,"HarperCollins (June 1, 2004)",English,14.72oz,"5.5"" x 8.25"" x 1.09""",28,InStock
Warriors #6: The Darkest Hour,17.99,60000074,"Erin Hunter, Dave Stevenson",Hardcover,336,"HarperCollins (October 5, 2004)",English,14.4oz,"5.5"" x 8.25"" x 1.09""",28,InStock
Hurricane (A Novel),16.99,006000018X,Terry Trueman,Hardcover,144,"HarperCollins (February 26, 2008)",English,8.8oz,"5.5"" x 8.25"" x 0.61""",40,InStock
What Makes Flamingos Pink? (A Colorful Collection of Q & A's for the Unquenchably Curious),14.99,60000244,Bill McLain,Paperback,336,"HarperCollins (January 8, 2002)",English,8.88oz,"5.31"" x 8"" x 0.76""",36,InStock
The Scandalous Gospel of Jesus (What's So Good About the Good News?),14.99,60000740,Peter J. Gomes,Paperback,272,"HarperCollins (September 9, 2008)",English,10.56oz,"6"" x 9"" x 0.68""",36,InStock
The Good Life (Truths That Last in Times of Need),15.99,60000767,Peter J. Gomes,Paperback,384,"HarperCollins (April 29, 2003)",English,14.72oz,"6"" x 9"" x 0.87""",24,InStock
Strength for the Journey (Biblical Wisdom for Daily Living),14.99,60000783,Peter J. Gomes,Paperback,320,"HarperCollins (May 25, 2004)",English,12.8oz,"6"" x 9"" x 0.73""",36,InStock
The Treasure of Montsegur (A Novel of the Cathars),14.99,60000805,Sophy Burnham,Paperback,304,"HarperCollins (June 3, 2003)",English,9.6oz,"5.31"" x 8"" x 0.68""",36,InStock
A String of Hearts,16.99,60000856,"Laura Malone Elliott, Lynn Munsinger",Hardcover,32,"HarperCollins (November 23, 2010)",English,12.48oz,"8"" x 10""",40,InStock
Living Water,14.99,60000880,Obery Hendricks,Paperback,384,"HarperCollins (January 6, 2004)",English,11.68oz,"5.31"" x 8"" x 0.87""",28,InStock
Bad Boys,7.99,60001046,"Margie Palatini, Henry Cole",Paperback,40,"HarperCollins (August 22, 2006)",English,6.4oz,"10"" x 8.75""",90,InStock
The Perfect Pet,7.99,60001100,"Margie Palatini, Bruce Whatley",Paperback,32,"HarperCollins (January 27, 2009)",English,5.12oz,"10"" x 8.75""",100,InStock
3 Little Firefighters,6.99,60001208,"Stuart J. Murphy, Bernice Lum",Paperback,40,"HarperCollins (August 14, 2003)",English,16oz,"10"" x 8""",100,InStock
100 Days of Cool,6.99,60001232,"Stuart J. Murphy, John Bendall-Brunello",Paperback,40,"HarperCollins (December 23, 2003)",English,16oz,"10"" x 8""",100,InStock
Earth Day--Hooray!,17.99,60001275,"Stuart J. Murphy, Renée Andriani",Hardcover,40,"HarperCollins (January 20, 2004)",English,12.16oz,"10"" x 8""",40,InStock
Leaping Lizards,6.99,60001321,"Stuart J. Murphy, JoAnn Adinolfi",Paperback,40,"HarperCollins (August 23, 2005)",English,5.76oz,"10"" x 8""",100,InStock
"Her Highness, My Wife",7.99,60001445,Victoria Alexander,Paperback,384,"HarperCollins (July 30, 2002)",English,6.4oz,"4.19"" x 6.75"" x 0.96""",48,InStock
Love With the Proper Husband,8.99,60001453,Victoria Alexander,Paperback,384,"HarperCollins (March 25, 2003)",English,16oz,"4.19"" x 6.75"" x 0.96""",48,InStock
"Liars, Lovers, and Heroes (What the New Brain Science Reveals About How We Become Who We Are)",15.99,60001496,"Steven R. Quartz, Terrence J. Sejnowski",Paperback,352,"HarperCollins (September 23, 2003)",English,13.44oz,"5.31"" x 8"" x 0.79""",24,InStock
Diary of a Worm,17.99,006000150X,"Doreen Cronin, Harry Bliss",Hardcover,40,"HarperCollins (August 14, 2003)",English,10.34oz,"7.5"" x 10""",44,InStock
Diary of a Spider,17.99,60001534,"Doreen Cronin, Harry Bliss",Hardcover,40,"HarperCollins (July 26, 2005)",English,16oz,"7.5"" x 10""",44,InStock
Diary of a Fly,16.99,60001569,"Doreen Cronin, Harry Bliss",Hardcover,40,"HarperCollins (August 21, 2007)",English,10.4oz,"7.5"" x 10""",44,InStock
Harold and the Purple Crayon: Under the Sea,3.99,006000178X,Liza Baker,Paperback,32,"HarperCollins (September 16, 2003)",English,3.52oz,"6"" x 9"" x 0.0762""",180,InStock
A Tree Grows in Brooklyn,26.99,60001941,Betty Smith,Hardcover,512,"HarperCollins (November 13, 2001)",English,21.76oz,"6.12"" x 9.25"" x 1.07""",20,InStock
Mildred and Sam,4.99,006000200X,"Sharleen Collicott, Sharleen Collicott",Paperback,48,"HarperCollins (February 17, 2004)",English,3.12oz,"5.5"" x 8.5"" x 0.12""",92,InStock
On a Wicked Dawn,7.99,60002050,Stephanie Laurens,Paperback,448,"HarperCollins (April 30, 2002)",English,7.6oz,"4.19"" x 6.75"" x 1.12""",48,InStock
A Gentleman's Honor,8.99,60002077,Stephanie Laurens,Paperback,464,"HarperCollins (September 30, 2003)",English,16oz,"4.19"" x 6.75"" x 1.16""",48,InStock
Ignorance (A Novel),15.99,60002107,Milan Kundera,Paperback,208,"HarperCollins (September 30, 2003)",English,5.44oz,"5.31"" x 8"" x 0.47""",88,InStock
Wallace's Lists,16.99,60002247,"Barbara Bottner, Olof Landstrom, Gerald Kruglik",Hardcover,40,"HarperCollins (June 1, 2004)",English,14.16oz,"8.5"" x 11"" x 0.34""",40,InStock
Thanksgiving Day Thanks,17.99,60002360,"Laura Malone Elliott, Lynn Munsinger",Hardcover,32,"HarperCollins (August 27, 2013)",English,12.16oz,"8"" x 10""",40,InStock
A Book of Hugs,6.99,60002735,"Dave Ross, Laura Rader",Board Book,30,"HarperCollins (December 4, 2001)",English,8.48oz,"5"" x 5.88""",66,InStock
A Book of Kisses Board Book,6.99,60002743,"Dave Ross, Laura Rader",Board Book,16,"HarperCollins (December 4, 2001)",English,7.28oz,"5"" x 5.88""",72,InStock
"Raising Blaze (A Mother and Son's Long, Strange Journey into Autism)",15.99,60004339,Debra Ginsberg,Paperback,320,"HarperCollins (August 5, 2003)",English,16oz,"5.31"" x 8"" x 0.72""",60,InStock
A People's History of the American Revolution (How Common People Shaped the Fight for Independence),13.99,60004401,Ray Raphael,Paperback,528,"HarperCollins (June 18, 2002)",English,14.64oz,"5.3125"" x 8"" x 0.8462""",36,InStock
The Death Artist,7.5,60004428,Jonathan Santlofer,Paperback,448,"HarperCollins (August 26, 2003)",English,7.6oz,"4.19"" x 6.75"" x 1.12""",48,InStock
Power Plays (Win or Lose--How History's Great Political Leaders Play the Game),17.99,60004444,Dick Morris,Paperback,384,"HarperCollins (June 17, 2003)",English,10.4oz,"5.31"" x 8"" x 0.86""",48,InStock
The Neal Pollack Anthology of American Literature (The Collected Writings of Neal Pollack),14.99,60004533,Neal Pollack,Paperback,240,"HarperCollins (March 5, 2002)",English,8.8oz,"5.31"" x 8"" x 0.55""",28,InStock
"Inside Mouse, Outside Mouse",17.99,60004665,"Lindsay Barrett George, Lindsay Barrett George",Hardcover,40,"HarperCollins (March 30, 2004)",English,15.44oz,"9"" x 11.5""",30,InStock
Engaged to Die (A Death on Demand Mystery),7.99,60004703,Carolyn Hart,Paperback,352,"HarperCollins (January 27, 2004)",English,5.68oz,"4.19"" x 6.75"" x 0.88""",48,InStock
Murder Walks the Plank (A Death on Demand Mystery),6.99,60004754,Carolyn Hart,Paperback,336,"HarperCollins (March 1, 2005)",English,5.76oz,"4.19"" x 6.75"" x 0.84""",48,InStock
Death of the Party,7.99,60004770,Carolyn Hart,Paperback,352,"HarperCollins (February 28, 2006)",English,5.84oz,"4.19"" x 6.75"" x 0.88""",48,InStock
Mrs. McNosh Hangs Up Her Wash,7.99,60004797,"Sarah Weeks, Nadine Bernard Westcott",Paperback,24,"HarperCollins (May 7, 2002)",English,3.1oz,"8.5"" x 8.5"" x 0.09""",160,InStock
Fanny: A Fiction,13.95,60004851,Edmund White,Paperback,400,"HarperCollins (October 26, 2004)",English,12.88oz,"5.31"" x 8"" x 0.9""",48,InStock
World Gone By (A Novel),27.99,60004908,Dennis Lehane,Hardcover,320,"HarperCollins (March 10, 2015)",English,16.64oz,"6"" x 9"" x 1.05""",28,InStock
Minnie and Moo: The Night of the Living Bed,4.99,006000505X,"Denys Cazet, Denys Cazet",Paperback,48,"HarperCollins (September 7, 2004)",English,3.2oz,"6"" x 9"" x 0.19""",92,InStock
The Day the Dinosaurs Died,4.99,60005300,"Charlotte Lewis Brown, Phil Wilson",Paperback,48,"HarperCollins (June 12, 2007)",English,3.6oz,"6"" x 9"" x 0.19""",92,InStock
"One Lighthouse, One Moon",7.99,60005378,"Anita Lobel, Anita Lobel",Paperback,48,"HarperCollins (April 16, 2002)",English,7.6oz,"8.5"" x 11""",70,InStock
Harold and the Purple Crayon: Dinosaur Days,14.99,60005416,Liza Baker,Paperback,40,"HarperCollins (December 17, 2002)",English,10.88oz,"8.5"" x 8.5"" x 0.0939""",50,InStock
Lirael (Daughter of the Clayr),8.99,60005424,Garth Nix,Paperback,720,"HarperCollins (April 30, 2002)",English,11.52oz,"4.19"" x 6.62"" x 1.62""",32,InStock
Six Wives (The Queens of Henry VIII),16.99,60005505,David Starkey,Paperback,880,"HarperCollins (May 4, 2004)",English,26.88oz,"5.31"" x 8"" x 1.41""",20,InStock
Agnes's Final Afternoon (An Essay on the Work of Milan Kundera),14.99,60005653,Francois Ricard,Paperback,224,"HarperCollins (September 28, 2004)",English,8.8oz,"5.31"" x 8"" x 0.5""",40,InStock
When I Was Cool (My Life at the Jack Kerouac School),15.99,006000567X,Sam Kashner,Paperback,368,"HarperCollins (February 1, 2005)",English,12.48oz,"5.31"" x 8"" x 0.83""",52,InStock
The Brewmaster's Table (Discovering the Pleasures of Real Beer with Real Food),19.99,60005718,Garrett Oliver,Paperback,384,"HarperCollins (May 3, 2005)",English,42.88oz,"7.38"" x 9.12"" x 0.96""",12,InStock
"Play Poker Like the Pros (The greatest poker player in the world today reveals his million-dollar-winning strategies to the most popular tournament, home and online games)",17.99,60005726,Phil Hellmuth,Paperback,416,"HarperCollins (May 6, 2003)",English,16oz,"6"" x 9"" x 1.04""",20,InStock
The Story of the Trapp Family Singers,16.99,60005777,Maria Augusta Trapp,Paperback,320,"HarperCollins (December 24, 2001)",English,8.16oz,"5.31"" x 8"" x 0.72""",60,InStock
"Ridin' High, Livin' Free (Hell-Raising Motorcycle Stories)",16.99,006000603X,Sonny Barger,Paperback,304,"HarperCollins (April 29, 2003)",English,8.08oz,"5.31"" x 8"" x 0.68""",60,InStock
How to Talk to Your Cat,7.99,60006226,"Jean Craighead George, Paul Meisel",Paperback,40,"HarperCollins (February 4, 2003)",English,16oz,"8.5"" x 8.5"" x 0.09""",120,InStock
How to Talk to Your Dog,7.99,60006234,"Jean Craighead George, Sue Truesdell",Paperback,40,"HarperCollins (February 4, 2003)",English,16oz,"8.5"" x 8.5"" x 0.09""",120,InStock
A Thousand Pieces of Gold (Growing Up Through China's Proverbs),13.99,60006412,Adeline Yen Mah,Paperback,272,"HarperCollins (September 16, 2003)",English,9.66oz,"5.62"" x 8.75"" x 0.61""",20,InStock
A Perfect Bride,7.99,60006617,Samantha James,Paperback,384,"HarperCollins (July 27, 2004)",English,6.32oz,"4.19"" x 6.75"" x 0.96""",48,InStock
A Perfect Hero,7.99,60006633,Samantha James,Paperback,384,"HarperCollins (June 28, 2005)",English,6.4oz,"4.19"" x 6.75"" x 0.96""",48,InStock
The Italian American Reader,16.99,60006676,Bill Tonelli,Paperback,576,"HarperCollins (January 25, 2005)",English,27.04oz,"5.31"" x 8"" x 0.92""",16,InStock
"Dresden (Tuesday, February 13, 1945)",18.99,60006773,Frederick Taylor,Paperback,560,"HarperCollins (January 18, 2005)",English,16oz,"5.31"" x 8"" x 0.9""",36,InStock
The Agile Gene (How Nature Turns on Nurture),17.99,006000679X,Matt Ridley,Paperback,352,"HarperCollins (July 6, 2004)",English,16oz,"5.31"" x 8"" x 0.79""",44,InStock
"Summerhouse, Later (Stories)",15.99,60006870,Judith Hermann,Paperback,224,"HarperCollins (April 1, 2003)",English,16oz,"5"" x 7.12"" x 0.49""",36,InStock
Dirty Havana Trilogy (A Novel in Stories),16.99,60006897,Pedro Juan Gutierrez,Paperback,400,"HarperCollins (February 5, 2002)",English,12.48oz,"5.31"" x 8"" x 0.91""",40,InStock
"The Last Alchemist (Count Cagliostro, Master of Magic in the Age of Reason)",14.99,60006919,Iain McCalman,Paperback,288,"HarperCollins (April 13, 2004)",English,11.04oz,"5.31"" x 8"" x 0.65""",30,InStock
"A Fine, Fine School",7.99,60007281,"Sharon Creech, Harry Bliss",Paperback,32,"HarperCollins (December 23, 2003)",English,5.76oz,"9"" x 11"" x 0.12""",100,InStock
A Walk in the Rain with a Brain,16.95,60007311,Edward Hallowell,Hardcover,32,"HarperCollins (September 28, 2004)",English,12.48oz,"9"" x 9"" x 0.32""",40,InStock
Writings on an Ethical Life,16.99,60007443,Peter Singer,Paperback,384,"HarperCollins (September 18, 2001)",English,16oz,"5.31"" x 8"" x 0.86""",40,InStock
The Torturer's Apprentice (Stories),12.99,60007451,John Biguenet,Paperback,192,"HarperCollins (February 19, 2002)",English,6.16oz,"5.31"" x 8"" x 0.44""",80,InStock
"In Sunlight, in a Beautiful Garden (A Novel)",15.99,60007575,Kathleen Cambor,Paperback,272,"HarperCollins (March 5, 2002)",English,16oz,"5.31"" x 8"" x 0.61""",40,InStock
The Friendly Four,17.99,60007591,"Eloise Greenfield, Jan Spivey Gilchrist",Hardcover,48,"HarperCollins (June 13, 2006)",English,16.32oz,"8.5"" x 11""",34,InStock
Surviving Hitler (A Boy in the Nazi Death Camps),7.99,60007672,Andrea Warren,Paperback,160,"HarperCollins (September 17, 2002)",English,7.39oz,"7.25"" x 9"" x 0.4""",30,InStock
"Easy to Love, Difficult to Discipline (The 7 Basic Skills for Turning Conflict into Cooperation)",16.99,60007753,Becky A. Bailey,Paperback,304,"HarperCollins (December 24, 2001)",English,8.19oz,"5.31"" x 8"" x 0.49""",40,InStock
Finding Fish (A Memoir),16.99,60007788,"Antwone Q. Fisher, Mim E. Rivas",Paperback,352,"HarperCollins (December 18, 2001)",English,9.6oz,"5.31"" x 8"" x 0.79""",48,InStock
The Blackbirder (Book Two of the Brethren of the Coast),15.99,60007796,James L. Nelson,Paperback,352,"HarperCollins (March 19, 2002)",English,10.88oz,"5.31"" x 8"" x 0.79""",36,InStock
Unholy Ghost (Writers on Depression),14.99,60007826,Nell Casey,Paperback,320,"HarperCollins (January 8, 2002)",English,10.21oz,"5.31"" x 8"" x 0.72""",40,InStock
Ruby Ridge (The Truth and Tragedy of the Randy Weaver Family),16.99,006000794X,Jess Walter,Paperback,416,"HarperCollins (February 19, 2002)",English,16.32oz,"6"" x 9"" x 1.07""",24,InStock
For Parents and Teenagers (Dissolving the Barrier Between You and Your Teen),13.99,60007990,William Glasser,Paperback,208,"HarperCollins (July 8, 2003)",English,6.8oz,"5.31"" x 8"" x 0.47""",80,InStock
Beyond Genetics (The User's Guide to DNA),13.95,60008016,Glenn McGee,Paperback,240,"HarperCollins (November 9, 2004)",English,8.32oz,"5.31"" x 8"" x 0.54""",28,InStock
Judgment Ridge (The True Story Behind the Dartmouth Murders),14.99,60008458,"Dick Lehr, Mitchell Zuckoff",Paperback,448,"HarperCollins (August 31, 2004)",English,16oz,"5.31"" x 8"" x 0.72""",44,InStock
The Earth Dragon Awakes (The San Francisco Earthquake of 1906),7.99,60008466,Laurence Yep,Paperback,128,"HarperCollins (March 25, 2008)",English,16oz,"5.12"" x 7.62"" x 0.26""",132,InStock
Death in Dublin (A Peter McGarr Mystery),6.99,60008504,Bartholomew Gill,Paperback,368,"HarperCollins (November 25, 2003)",English,6.16oz,"4.19"" x 6.75"" x 0.92""",48,InStock
Democracy in America: Abridged Edition,16.99,60008733,Alexis de Tocqueville,Paperback,464,"HarperCollins (June 12, 2007)",English,12.16oz,"5.31"" x 8"" x 1.05""",44,InStock
The Difference Between God and Larry Ellison (*God Doesn't Think He's Larry Ellison),16.99,60008768,Mike Wilson,Paperback,420,"HarperCollins (November 11, 2003)",English,12.64oz,"5.31"" x 8"" x 0.95""",40,InStock
Dot.con (How America Lost Its Mind and Money in the Internet Era),17.99,60008814,John Cassidy,Paperback,416,"HarperCollins (May 13, 2003)",English,14.08oz,"5.31"" x 8"" x 0.95""",44,InStock
Power of 10 (The Once-A-Week Slow Motion Fitness Revolution),16.99,006000889X,Adam Zickerman,Paperback,224,"HarperCollins (December 23, 2003)",English,20.96oz,"7.38"" x 9.12"" x 0.54""",24,InStock
Until Death Do Us Part (My Struggle to Reclaim Colombia),15.99,60008911,Ingrid Betancourt,Paperback,256,"HarperCollins (August 19, 2008)",English,8oz,"5.31"" x 8"" x 0.58""",72,InStock
"Meet the Beatles (A Cultural History of the Band That Shook Youth, Gender, and the World)",14.99,60008938,Steven D. Stark,Paperback,368,"HarperCollins (May 30, 2006)",English,11.2oz,"5.31"" x 8"" x 0.83""",52,InStock
Dharma Punx,16.99,60008954,Noah Levine,Paperback,272,"HarperCollins (May 4, 2004)",English,7.2oz,"5.31"" x 8"" x 0.61""",68,InStock
Mary Ingalls on Her Own,16.99,60009055,Elizabeth Cody Kimmel,Hardcover,192,"HarperCollins (December 26, 2007)",English,9.79oz,"5.5"" x 8.25"" x 0.73""",40,InStock
